Time                ,Current(A)  ,TargetCurrent(A),Voltage(V)  ,PressureRaw(kg),PressureFiltered(kg),F0(kg)      ,DeltaF      ,PI_P(mA)    ,PI_I(mA)    ,PI_D(mA)    ,PI_LastCurrent(mA),Feedforward(mA),AlgoDeltaF(kg),AlgoPressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s),WeightRaw(kg) ,WeightFiltered(kg)
16:06:05.862386     ,0.051       ,0.000       ,0.853       ,11.890      ,11.881      ,11.890      ,-0.009      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:05.872438     ,0.051       ,0.000       ,0.853       ,11.900      ,11.892      ,11.890      ,0.002       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.320         ,4.320         
16:06:06.419735     ,0.051       ,0.000       ,0.853       ,11.890      ,11.884      ,11.890      ,-0.006      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:06.422490     ,0.049       ,0.000       ,0.885       ,11.890      ,11.886      ,11.890      ,-0.004      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:06.442469     ,0.051       ,0.000       ,0.869       ,11.890      ,11.889      ,11.890      ,-0.001      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:06.452531     ,0.051       ,0.000       ,0.869       ,11.900      ,11.896      ,11.890      ,0.006       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:06.462420     ,0.051       ,0.000       ,0.836       ,11.900      ,11.891      ,11.890      ,0.001       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:06.472352     ,0.051       ,0.000       ,0.836       ,11.900      ,11.889      ,11.890      ,-0.001      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:06.482425     ,0.051       ,0.000       ,0.836       ,11.890      ,11.881      ,11.890      ,-0.009      ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
16:06:06.492480     ,0.051       ,0.000       ,0.820       ,11.900      ,11.893      ,11.890      ,0.003       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.000       ,0.00000       ,2147483602    ,355.957         ,0.000         ,0.000               ,0.000               ,0.000           ,0.00000           ,0.00000               ,4.300         ,4.300         
